taxon,isocode,glottocode,xd_ids,soc_ids
ARRERNTE_CENTRAL,,east2379,xd772,"B124, Id1, SCCS91"
ARRERNTE_EASTERN,,east2379,xd772,"B124, Id1, SCCS91"
LOWER_ARANDA,,west2441,,
ARRARNTA_WESTERN,,west2441,,
SOUTHERN_ARANDA,,west2441,,
ARRERNTE_EASTERN_2,,east2379,xd772,"B124, Id1, SCCS91"
ANMATYERRE,,anma1239,,
AKARA,,east2379,xd772,"B124, Id1, SCCS91"
ARANDA,,east2379,xd772,"B124, Id1, SCCS91"
ALYAWARRA,,alya1239,xd964,B117
ALYAWARR_ALYAWARA,,alya1239,xd964,B117
ALYAWARR_MACDONALDDOWNS_ALYAWARA,,alya1239,xd964,B117
KAURE,,kaur1271,,
MIGABAC,,miga1241,,
DEDUA,,dedu1240,,
HUBE,,kube1244,,
MAPE,,mape1249,,
KATE,,kate1253,,
MAPE_2,,mape1249,,
ONO,,onoo1246,,
MOMOLILI,,mese1244,,
NABAK,,naba1256,,
TIMBE,,timb1251,,
KOMBA,,komb1273,,
SELEPET,,sele1250,,
BORONG,,boro1279,,
KOSORONG,,boro1279,,
MINDIK,,buru1306,,
BURUM,,buru1306,,
BURUM_MINDIK,,buru1306,,
IYO,,iyoo1238,,
RAWA,,rawa1267,,
GWAHATIKE,,gwah1244,,
MURATAYAK,,mura1271,,
ASARO7O,,asar1240,,
DEGENAN,,dege1247,,
FORAK,,fora1245,,
NUKNA,,nukn1238,,
NUNGON,,yaum1237,,
NANKINA,,nank1250,,
YOPNO,,yopn1238,,
AWARA,,awar1248,,
WANTOAT,,want1252,xd796,Ie2
URI_PAPUA_NEW_GUINEA,,urii1240,,
MA_MANDA,,sauk1252,,
NUMANGGANG,,numa1254,,
MUNGKIP,,mung1272,,
NAKAME,,naka1264,,
NEK,,nekk1240,,
NUK,,nukk1240,,
KORAK,,kora1296,,
WASKIA,,wask1241,,
KOBON,,kobo1249,,
KALAM,,kala1397,,
OSUM,,utar1238,,
WADAGINAM,,wada1263,,
IKUNDUN,,anam1248,,
MORESADA,,more1258,,
PONDOMA,,anam1247,,
ANGAUA,,nend1239,,
ATEMPLE,,atem1241,,
FAITA,,fait1240,,
MUSAK,,musa1266,,
EMERUM,,apal1256,,
PAYNAMAR,,payn1244,,
KATIATI,,mumm1238,,
SILEIBI,,sile1255,,
GANGLAU,,gang1270,,
SAEP,,saep1240,,
YABONG,,yabo1240,,
BONGU,,bong1291,,
BOM,,anja1238,,
MALE_PAPUANG,,male1291,,
SONGUM,,samm1244,,
KWATO,,kwat1244,,
ERIMA,,ogea1238,,
DUDUELA,,dudu1240,,
USU,,uyaa1238,,
YANGULAM,,yang1298,,
JILIM,,jili1241,,
RERAU,,rera1240,,
BIYOM,,biyo1244,,
TAUYA,,tauy1241,,
USINO,,sopp1247,,
SUMAU,,suma1270,,
DANARU,,dana1254,,
URIGINA,,urig1240,,
ASAS,,asas1240,,
SINSAURU,,sins1241,,
DUMPU,,dump1243,,
KESAWAI,,kesa1244,,
SAUSI,,saus1246,,
PULABU,,pula1267,,
SUROI,,siro1249,,
LEMIO,,lemi1243,,
ARAWUM,,araw1272,,
KOLOM,,kolo1267,,
MUGIL,,barg1252,,
BARGAM,,barg1252,,
PAY,,mala1494,,
SAKI,,maia1254,,
PILA,,maia1254,,
TANI,,mian1254,,
AMAIMON,,amai1246,,
DIMIR,,dimi1244,,
MALAS,,mala1495,,
WANUMA,,usan1239,,
BILAKURA,,bila1257,,
YABEN,,yabe1255,,
PARAWEN,,para1307,,
UKURIGUMA,,ukur1240,,
YARAWATA,,yara1250,,
ABASAKUR,,pall1244,,
KOGUMAN,,kobo1248,,
WANAMBRE,,wana1269,,
KOWAKI,,kowa1245,,
HINIHON,,pamo1253,,
MAWAK,,mawa1266,,
MUSAR,,musa1265,,
BUNABUN,,brem1238,,
ULINGAN,,mauw1238,,
BEPOUR,,bepo1240,,
MOERE,,moer1240,,
KARE,,kare1341,,
GIRAWA,,gira1247,,
BEMAL,,kein1239,,
MUNIT,,muni1257,,
GUMALU,,guma1255,,
SIHAN,,siha1245,,
AMELE,,amel1241,,
BAU,,bauu1244,,
ISEBE,,iseb1246,,
PANIM,,pani1258,,
KAMBA,,wagi1249,,
GARUH,,nobo1238,,
RAPTING,,rapt1240,,
GARUS,,garu1246,,
REMPI,,remp1241,,
YOIDIK,,yoid1240,,
MAWAN,,mawa1267,,
BAIMAK,,baim1245,,
GAL,,gall1278,,
MATEPI,,mate1260,,
SILOPI,,silo1240,,
UTU,,utuu1240,,
NAKE,,nake1240,,
BAGUPI,,bagu1252,,
SARUGA,,saru1243,,
MURUPI,,muru1273,,
SAMOSA,,samo1306,,
WAMAS,,wama1247,,
MOSIMO,,mosi1248,,
ASIENARA,,buru1308,,
KAMBERAU,,kamb1302,,
KAMORO_2,,kamo1255,xd808,Ie30
SEMPAN,,semp1241,,
ASMATH_NORTH,,nort2917,,
CITAK,,cita1245,,
CASUARINA_COAST_ASMAT,,casu1237,,
ASMAT_CENTRAL,,cent2117,,
ASMAT_YAOSAKOR,,yaos1235,,
KOROWAI,,koro1312,,
KOMYANDARET,,komy1238,,
TTSAKWAMBO,,tsak1250,,
KOMBAI,,komb1274,,
WANGGOM,,wang1299,,
SAWUJ,,sawi1257,,
KAETI_DUMUT,,mand1444,,
WAMBON,,wamb1259,,
AWYU_ASUE,,asue1235,,
AGHU_2,,aghu1255,,
SIAGHA,,sout2941,,
SJIAGHA,,eder1237,,
OKSAPMIN,,oksa1245,,
NGALUM_2,,ngal1298,xd815,Ie37
TIFAL,,tifa1245,,
TELEFOL,,tele1256,,
ANGIYAKMIN_FAIWOL,,faiw1243,,
BIMIN,,bimi1240,,
MIAN,,mian1256,,
WAGARABAI,,suga1249,,
NAKAI,,naka1265,,
TANGKO,,tang1353,,
NGALUM,,ngal1298,xd815,Ie37
NINGGIRUM_KAWOMA,,ning1274,,
DIGOELEESCH,,sout2940,xd800,Ie23
DIGUL_MUYU,,sout2940,xd800,Ie23
