Feature	D-estimate	Pval1	Pval0	Grambank_ID_desc
GB158	0.2904620387462306	0	0.007	GB158 RedupV
GB165	0.6762333720605114	0.268	0.213	GB165 TrialBound
GB166	0.6134973853320407	0.007	0.036	GB166 PaucalBound
GB170	-0.5684996207575673	0	1	GB170 ADJGender
GB171	-0.513747503023367	0	0.999	GB171 DEMGender
GB172	2.15072343717676e-4	0	0.553	GB172 ARTGender
GB177	0.35459441059501234	0	0.026	GB177 AnimacyBoundV
GB184	0.15835369421505213	0	0.098	GB184 AdjNUM
GB185	0.20076531306364137	0	0.034	GB185 DEMNum
GB186	0.3453490034037787	0	0.009	GB186 ARTNum
GB192	-0.29616867200541763	0	0.906	GB192 GenderPhono
GB196	-0.5951737580178063	0	0.991	GB196 PRO2PMascFem
GB197	0.14507196858830837	0	0.394	GB197 PRO1PMascFem
GB198	-0.41555028679428563	0	0.988	GB198 NUMGender
GB298	0.4440270311368252	0	0.003	GB298 NEGAux
GB299	0.24324559538947552	0	0.015	GB299 NEGPart
GB309	0.23155813596136857	0	0.023	GB309 MultiplePastFuture
GB312	-0.05786529007584718	0	0.715	GB312 MoodBoundV
GB313	0.5587699535825661	0	0	GB313 PROPoss
GB316	0.3740596801749711	0	0.034	GB316 SingularFree
GB317	0.369218191647513	0	0.061	GB317 DualFree
GB318	0.15351620773962724	0	0.137	GB318 PluralFree
GB319	0.6070953193793904	0.203	0.252	GB319 TrialFree
GB320	-0.11079768618370557	0	0.632	GB320 PaucalFree
GB321	0.013917686722419855	0	0.493	GB321 GenderUnpredict
GB430	0.12740930837126663	0	0.287	GB430 POSSPfxPosr
GB431	-0.17320144209191013	0	0.877	GB431 POSSPfxPosd
GB432	-0.10957879003707043	0	0.811	GB432 POSSSfxPosr
GB433	-0.10247989620550282	0	0.806	GB433 POSSSfxPosd
GB024a	-0.3964448239122572	0	0.996	GB024a NUMOrder_Num-N
GB024b	-0.3341998417018168	0	0.989	GB024b NUMOrder_N-Num
GB025a	-0.17230195614799168	0	0.918	GB025a DEMOrder_Dem-N
GB025b	-0.18608206336349176	0	0.922	GB025b DEMOrder_N-Dem
GB065a	-0.3688082115174712	0	0.99	GB065a POSSOrder_PSR-PSD
GB065b	-0.3876219423725761	0	0.998	GB065b POSSOrder_PSD-PSR
GB130a	-0.24072944726399825	0	0.918	GB130a IntransOrder_SV
GB130b	-0.11488616386715692	0	0.804	GB130b IntransOrder_VS
GB193a	-0.10077654762438938	0	0.814	GB193a ANMOrder_ANM-N
GB193b	-0.20314211342554525	0	0.932	GB193b ANMOrder_N-ANM
