Vars	Value_cfx
mong1349 - nilo1247	0.6525159103128142
gong1255 - nilo1247	0.7179351907667687
utoa1244 - nilo1247	0.4856293394636268
japo1237 - nilo1247	0.7938981720269792
ural1272 - nilo1247	1.2261604507531358
pama1250 - nilo1247	0.6771718031920541
tung1282 - nilo1247	0.7354173109675924
cari1283 - nilo1247	0.476573647545452
nucl1709 - afro1255	0.2769192611630966
nakh1245 - afro1255	0.5284858606641278
aust1305 - afro1255	0.23117305703527585
taik1256 - afro1255	0.7494637287232156
tupi1275 - afro1255	0.5384761389214258
otom1299 - afro1255	0.2822910365043933
drav1251 - afro1255	0.501695441328112
pano1259 - afro1255	0.4888796697884179
indo1319 - afro1255	0.14159377936012355
nucl1710 - afro1255	0.5607766725081732
algi1248 - afro1255	0.5866587757225981
chib1249 - afro1255	0.7728844667008807
