lg	prob_lca
365	5.299265563656797e-23
366	4.340413221266921e-24
367	1.9683303928691158e-28
368	4.7292592765887784e-21
369	6.036674826890586e-25
370	2.7327163865839637e-25
371	6.924838366622831e-23
372	1.9924478733461487e-23
373	5.541113985808457e-24
374	8.373195483173757e-30
375	5.272194016522166e-31
376	5.974962334060554e-26
377	1.1744243658386055e-25
378	5.213796025801328e-26
379	5.612792183685923e-23
380	1.7297042343889493e-21
381	1.0741437224467363e-23
382	4.6085695561224766e-29
383	9.931272624207899e-28
384	1.2436548672565767e-24
385	2.4452777803643108e-30
386	3.5493497174977347e-25
387	3.5573553461556737e-25
388	7.985633060398514e-24
389	1.5876516462677197e-26
390	3.0857619553720144e-25
391	1.233368301067535e-33
392	2.6369941855770423e-26
393	1.2376148331407029e-23
394	4.3430715999116367e-23
395	9.257359225276155e-23
396	4.147666882532906e-34
397	1.774243819734395e-21
398	2.0316506442639287e-23
399	1.908691364858449e-25
400	1.15676235258634e-23
401	1.8239530035153469e-25
402	1.4926840482372756e-24
403	3.997415886370673e-24
404	8.153186584111525e-22
405	2.445436523005987e-24
406	3.26257152121016e-31
407	6.77771218462034e-26
408	1.0261039206494218e-24
409	6.498723157893372e-31
410	6.831522869972271e-27
411	4.8826680270744086e-32
412	2.09728094275508e-22
413	4.29757577073868e-25
414	1.1116849588302851e-23
415	3.880632462862124e-23
416	2.3674346611483858e-24
417	5.633637936013217e-21
418	1.207778707083624e-23
419	7.922011155100384e-28
420	3.086970291301819e-33
421	8.661441246319454e-29
422	4.906844837652083e-27
423	2.939112568504432e-30
424	1.5950179817817512e-23
425	3.8543699145232626e-29
426	7.393221389382296e-21
427	3.1987433431303114e-23
428	5.501118738635961e-23
429	7.41693568387764e-31
430	8.102493215163694e-24
431	2.5003409443895605e-30
432	7.815004502781893e-32
433	9.383732007000301e-23
434	3.987179570284995e-22
435	8.293433303716632e-25
436	2.3283690329553402e-29
437	6.037252906128267e-26
438	1.7642793084410456e-28
439	1.214132704699913e-28
440	1.93725097111785e-33
441	4.428324977843955e-25
442	1.2360155365571646e-25
443	9.96630244365393e-22
444	1.0815820690537616e-29
445	3.00886392914421e-30
446	1.5097422945127956e-27
447	9.210118808248117e-27
448	1.2931644534823924e-21
449	5.579085886895173e-29
450	7.389771877675649e-23
451	3.651361361393562e-29
452	2.745830531719518e-25
453	1.0577783070245083e-31
454	1.0114894537398484e-23
455	3.167089915327915e-30
456	3.351414718589183e-29
457	1.3635139346119811e-27
458	3.045962810059224e-26
459	1.985340875695368e-31
460	2.101076470410074e-21
461	1.3202742762297757e-30
462	5.612862971773757e-22
463	3.5859559294676767e-22
464	1.044203743272376e-24
465	4.590141672739523e-31
466	5.675301288885675e-26
467	2.339639406568014e-22
468	1.2003405977563077e-27
469	8.164707461859663e-24
470	1.1855392948421707e-28
471	9.288350031275731e-24
472	3.7561575429807886e-23
473	4.936200693435438e-21
474	4.309993049387311e-28
475	1.0726022287453312e-26
476	4.5937580620171837e-29
477	7.544482951360076e-20
478	8.929813055988401e-25
479	2.23536480217897e-28
480	2.4025852519660318e-26
481	1.4408446155649432e-21
482	2.613457156818689e-34
483	2.38098074579775e-24
